temperature,door_state,date
30.32144,open,20-05-2024 20:29:32
30.78955,open,20-05-2024 20:29:33
30.32144,open,20-05-2024 20:29:33
30.32144,open,20-05-2024 20:29:34
30.32144,open,20-05-2024 20:29:34
29.85327,open,20-05-2024 20:29:35
30.32144,open,20-05-2024 20:29:35
30.32144,open,20-05-2024 20:29:36
30.32144,open,20-05-2024 20:29:36
30.32144,open,20-05-2024 20:29:37
30.32144,open,20-05-2024 20:29:37
30.32144,open,20-05-2024 20:29:38
30.78955,open,20-05-2024 20:29:38
30.32144,open,20-05-2024 20:29:39
30.32144,open,20-05-2024 20:29:39
30.32144,open,20-05-2024 20:29:40
30.32144,open,20-05-2024 20:29:40
30.32144,open,20-05-2024 20:29:41
30.32144,open,20-05-2024 20:29:41
30.32144,open,20-05-2024 20:29:42
30.32144,open,20-05-2024 20:29:42
30.32144,open,20-05-2024 20:29:43
30.32144,open,20-05-2024 20:29:43
30.32144,open,20-05-2024 20:29:44
30.32144,open,20-05-2024 20:29:44
30.78955,open,20-05-2024 20:29:45
30.78955,open,20-05-2024 20:29:45
30.32144,open,20-05-2024 20:29:46
30.78955,open,20-05-2024 20:29:47
30.32144,open,20-05-2024 20:29:47
30.32144,open,20-05-2024 20:29:48
30.78955,open,20-05-2024 20:29:48
30.32144,open,20-05-2024 20:29:49
30.32144,open,20-05-2024 20:29:49
30.32144,open,20-05-2024 20:29:50
30.32144,open,20-05-2024 20:29:50
30.32144,open,20-05-2024 20:29:50
30.78955,open,20-05-2024 20:29:51
30.32144,open,20-05-2024 20:29:52
30.32144,open,20-05-2024 20:29:52
30.32144,open,20-05-2024 20:29:53
30.32144,open,20-05-2024 20:29:53
30.32144,open,20-05-2024 20:29:54
30.32144,open,20-05-2024 20:29:54
30.78955,open,20-05-2024 20:29:55
30.32144,open,20-05-2024 20:29:55
30.78955,open,20-05-2024 20:29:56
30.32144,open,20-05-2024 20:29:56
30.32144,open,20-05-2024 20:29:57
30.32144,open,20-05-2024 20:29:57
30.32144,open,20-05-2024 20:29:58
30.32144,open,20-05-2024 20:29:58
30.32144,open,20-05-2024 20:29:59
30.32144,open,20-05-2024 20:29:59
30.32144,open,20-05-2024 20:30:00
30.78955,open,20-05-2024 20:30:00
30.32144,open,20-05-2024 20:30:01
30.32144,open,20-05-2024 20:30:01
30.32144,open,20-05-2024 20:30:02
30.32144,open,20-05-2024 20:30:02
30.32144,open,20-05-2024 20:30:03
30.32144,open,20-05-2024 20:30:03
30.32144,open,20-05-2024 20:30:04
30.78955,open,20-05-2024 20:30:04
30.32144,open,20-05-2024 20:30:05
30.32144,open,20-05-2024 20:30:05
30.32144,open,20-05-2024 20:30:06
30.32144,open,20-05-2024 20:30:06
30.32144,open,20-05-2024 20:30:07
30.32144,open,20-05-2024 20:30:07
30.32144,open,20-05-2024 20:30:08
30.32144,open,20-05-2024 20:30:08
30.32144,open,20-05-2024 20:30:09
30.32144,open,20-05-2024 20:30:09
30.32144,open,20-05-2024 20:30:10
30.32144,open,20-05-2024 20:30:10
30.32144,open,20-05-2024 20:30:11
30.32144,open,20-05-2024 20:30:11
30.32144,open,20-05-2024 20:30:11
30.78955,open,20-05-2024 20:30:12
30.32144,open,20-05-2024 20:30:13
30.32144,open,20-05-2024 20:30:13
30.32144,open,20-05-2024 20:30:14
30.32144,open,20-05-2024 20:30:14
30.78955,open,20-05-2024 20:30:15
30.32144,open,20-05-2024 20:30:15
30.32144,open,20-05-2024 20:30:16
30.32144,open,20-05-2024 20:30:16
30.32144,open,20-05-2024 20:30:17
30.32144,open,20-05-2024 20:30:17
30.78955,open,20-05-2024 20:30:18
30.32144,open,20-05-2024 20:30:18
30.32144,open,20-05-2024 20:30:19
30.78955,open,20-05-2024 20:30:19
30.32144,open,20-05-2024 20:30:20
30.32144,open,20-05-2024 20:30:20
29.85327,open,20-05-2024 20:30:21
30.32144,open,20-05-2024 20:30:21
30.32144,open,20-05-2024 20:30:22
30.32144,open,20-05-2024 20:30:22
30.32144,open,20-05-2024 20:30:23
30.32144,open,20-05-2024 20:30:23
30.32144,open,20-05-2024 20:30:24
30.32144,open,20-05-2024 20:30:24
30.32144,open,20-05-2024 20:30:25
30.32144,open,20-05-2024 20:30:25
30.32144,open,20-05-2024 20:30:26
30.32144,open,20-05-2024 20:30:26
30.32144,open,20-05-2024 20:30:27
30.32144,open,20-05-2024 20:30:27
30.32144,open,20-05-2024 20:30:28
30.32144,open,20-05-2024 20:30:28
30.32144,open,20-05-2024 20:30:28
30.32144,open,20-05-2024 20:30:29
30.32144,open,20-05-2024 20:30:30
30.32144,open,20-05-2024 20:30:30
30.32144,open,20-05-2024 20:30:31
30.32144,open,20-05-2024 20:30:31
30.32144,open,20-05-2024 20:30:32
30.78955,open,20-05-2024 20:30:32
30.32144,open,20-05-2024 20:30:33
30.32144,open,20-05-2024 20:30:33
30.32144,open,20-05-2024 20:30:33
30.32144,open,20-05-2024 20:30:34
30.32144,open,20-05-2024 20:30:34
30.32144,open,20-05-2024 20:30:35
30.78955,open,20-05-2024 20:30:35
30.32144,open,20-05-2024 20:30:36
30.32144,open,20-05-2024 20:30:36
30.78955,open,20-05-2024 20:30:37
30.78955,open,20-05-2024 20:30:37
30.32144,open,20-05-2024 20:30:38
30.32144,open,20-05-2024 20:30:38
30.32144,open,20-05-2024 20:30:39
30.32144,open,20-05-2024 20:30:39
30.32144,open,20-05-2024 20:30:40
30.32144,open,20-05-2024 20:30:41
30.32144,open,20-05-2024 20:30:41
30.32144,open,20-05-2024 20:30:42
30.78955,open,20-05-2024 20:30:42
30.32144,open,20-05-2024 20:30:42
30.32144,open,20-05-2024 20:30:43
30.32144,open,20-05-2024 20:30:43
30.32144,open,20-05-2024 20:30:44
30.32144,open,20-05-2024 20:30:44
30.78955,open,20-05-2024 20:30:45
30.32144,open,20-05-2024 20:30:45
30.32144,open,20-05-2024 20:30:46
30.78955,open,20-05-2024 20:30:46
30.32144,open,20-05-2024 20:30:47
30.78955,open,20-05-2024 20:30:47
30.32144,open,20-05-2024 20:30:48
30.78955,open,20-05-2024 20:30:48
30.32144,open,20-05-2024 20:30:49
30.32144,open,20-05-2024 20:30:49
30.32144,open,20-05-2024 20:30:50
30.32144,open,20-05-2024 20:30:50
30.32144,open,20-05-2024 20:30:51
30.78955,open,20-05-2024 20:30:52
30.32144,open,20-05-2024 20:30:52
30.32144,open,20-05-2024 20:30:52
30.32144,open,20-05-2024 20:30:53
30.32144,open,20-05-2024 20:30:53
30.32144,open,20-05-2024 20:30:54
30.78955,open,20-05-2024 20:30:55
30.32144,open,20-05-2024 20:30:55
30.32144,open,20-05-2024 20:30:56
30.32144,open,20-05-2024 20:30:56
30.32144,open,20-05-2024 20:30:57
30.32144,open,20-05-2024 20:30:57
30.32144,open,20-05-2024 20:30:58
30.32144,open,20-05-2024 20:30:58
30.32144,open,20-05-2024 20:30:59
30.78955,open,20-05-2024 20:30:59
30.32144,open,20-05-2024 20:31:00
30.78955,open,20-05-2024 20:31:00
30.32144,open,20-05-2024 20:31:01
30.32144,open,20-05-2024 20:31:01
30.32144,open,20-05-2024 20:31:02
30.32144,open,20-05-2024 20:31:02
30.32144,open,20-05-2024 20:31:03
30.32144,open,20-05-2024 20:31:03
30.32144,open,20-05-2024 20:31:04
30.32144,open,20-05-2024 20:31:04
30.32144,open,20-05-2024 20:31:05
30.32144,open,20-05-2024 20:31:05
30.32144,open,20-05-2024 20:31:06
30.32144,open,20-05-2024 20:31:06
30.32144,open,20-05-2024 20:31:07
30.78955,open,20-05-2024 20:31:07
30.32144,open,20-05-2024 20:31:08
30.32144,open,20-05-2024 20:31:08
30.32144,open,20-05-2024 20:31:09
30.32144,open,20-05-2024 20:31:09
30.32144,open,20-05-2024 20:31:10
30.32144,open,20-05-2024 20:31:10
30.78955,open,20-05-2024 20:31:11
30.32144,open,20-05-2024 20:31:11
30.32144,open,20-05-2024 20:31:12
30.32144,open,20-05-2024 20:31:13
30.32144,open,20-05-2024 20:31:13
30.32144,open,20-05-2024 20:31:14
30.32144,open,20-05-2024 20:31:14
30.32144,open,20-05-2024 20:31:14
29.85327,open,20-05-2024 20:31:15
30.78955,open,20-05-2024 20:31:15
30.78955,open,20-05-2024 20:31:16
30.32144,open,20-05-2024 20:31:17
30.32144,open,20-05-2024 20:31:17
30.32144,open,20-05-2024 20:31:18
30.32144,open,20-05-2024 20:31:18
30.32144,open,20-05-2024 20:31:19
30.32144,open,20-05-2024 20:31:19
30.32144,open,20-05-2024 20:31:20
30.32144,open,20-05-2024 20:31:20
30.32144,open,20-05-2024 20:31:20
30.78955,open,20-05-2024 20:31:21
30.32144,open,20-05-2024 20:31:21
30.32144,open,20-05-2024 20:31:22
30.32144,open,20-05-2024 20:31:22
30.32144,open,20-05-2024 20:31:23
30.32144,open,20-05-2024 20:31:23
30.78955,open,20-05-2024 20:31:24
30.32144,open,20-05-2024 20:31:24
30.32144,open,20-05-2024 20:31:25
30.32144,open,20-05-2024 20:31:25
30.32144,open,20-05-2024 20:31:26
30.32144,open,20-05-2024 20:31:26
30.32144,open,20-05-2024 20:31:27
30.32144,open,20-05-2024 20:31:27
30.32144,open,20-05-2024 20:31:28
30.78955,open,20-05-2024 20:31:28
30.32144,open,20-05-2024 20:31:29
30.32144,open,20-05-2024 20:31:29
30.32144,open,20-05-2024 20:31:30
30.32144,open,20-05-2024 20:31:30
30.32144,open,20-05-2024 20:31:31
30.32144,open,20-05-2024 20:31:31
30.32144,open,20-05-2024 20:31:32
30.32144,open,20-05-2024 20:31:32
30.32144,open,20-05-2024 20:31:32
30.32144,open,20-05-2024 20:31:33
30.32144,open,20-05-2024 20:31:34
30.32144,open,20-05-2024 20:31:34
30.32144,open,20-05-2024 20:31:35
30.32144,open,20-05-2024 20:31:35
30.32144,open,20-05-2024 20:31:36
30.32144,open,20-05-2024 20:31:36
30.32144,open,20-05-2024 20:31:37
30.32144,open,20-05-2024 20:31:37
30.32144,open,20-05-2024 20:31:37
30.32144,open,20-05-2024 20:31:38
30.32144,open,20-05-2024 20:31:39
30.78955,open,20-05-2024 20:31:39
30.78955,open,20-05-2024 20:31:40
30.32144,open,20-05-2024 20:31:40
30.32144,open,20-05-2024 20:31:41
30.32144,open,20-05-2024 20:31:41
30.32144,open,20-05-2024 20:31:42
30.32144,open,20-05-2024 20:31:42
30.32144,open,20-05-2024 20:31:42
30.32144,open,20-05-2024 20:31:43
30.32144,open,20-05-2024 20:31:43
30.32144,open,20-05-2024 20:31:44
30.32144,open,20-05-2024 20:31:44
30.32144,open,20-05-2024 20:31:45
30.32144,open,20-05-2024 20:31:45
29.85327,open,20-05-2024 20:31:46
30.32144,open,20-05-2024 20:31:46
30.78955,open,20-05-2024 20:31:47
30.32144,open,20-05-2024 20:31:47
30.32144,open,20-05-2024 20:31:48
30.32144,open,20-05-2024 20:31:48
30.32144,open,20-05-2024 20:31:49
30.32144,open,20-05-2024 20:31:49
30.32144,open,20-05-2024 20:31:50
