temperature,door_state,date
25.17182,closed,21-05-2024 19:59:53
27.98069,closed,21-05-2024 20:00:50
27.98069,closed,21-05-2024 20:00:51
27.98069,closed,21-05-2024 20:00:51
27.98069,closed,21-05-2024 20:00:52
27.98069,closed,21-05-2024 20:00:52
27.98069,closed,21-05-2024 20:00:53
27.98069,closed,21-05-2024 20:00:53
28.44887,closed,21-05-2024 20:00:54
27.98069,closed,21-05-2024 20:00:54
28.44887,closed,21-05-2024 20:00:55
27.98069,closed,21-05-2024 20:00:55
27.98069,closed,21-05-2024 20:00:56
27.98069,closed,21-05-2024 20:00:56
27.98069,closed,21-05-2024 20:00:57
27.98069,closed,21-05-2024 20:00:57
27.98069,closed,21-05-2024 20:00:58
27.98069,closed,21-05-2024 20:00:58
28.44887,closed,21-05-2024 20:00:59
27.98069,closed,21-05-2024 20:00:59
27.98069,closed,21-05-2024 20:01:00
27.98069,closed,21-05-2024 20:01:00
27.98069,closed,21-05-2024 20:01:01
27.98069,closed,21-05-2024 20:01:01
28.44887,closed,21-05-2024 20:01:02
27.98069,closed,21-05-2024 20:01:02
28.44887,closed,21-05-2024 20:01:03
27.98069,closed,21-05-2024 20:01:03
27.98069,closed,21-05-2024 20:01:04
27.98069,closed,21-05-2024 20:01:04
27.98069,closed,21-05-2024 20:01:05
27.98069,closed,21-05-2024 20:01:05
27.98069,closed,21-05-2024 20:01:06
28.44887,closed,21-05-2024 20:01:06
28.44887,closed,21-05-2024 20:01:07
28.44887,closed,21-05-2024 20:01:07
28.44887,closed,21-05-2024 20:01:08
28.44887,closed,21-05-2024 20:01:08
27.98069,closed,21-05-2024 20:01:09
27.98069,closed,21-05-2024 20:01:09
28.44887,closed,21-05-2024 20:01:10
28.44887,closed,21-05-2024 20:01:10
28.44887,closed,21-05-2024 20:01:11
27.98069,closed,21-05-2024 20:01:11
27.98069,closed,21-05-2024 20:01:12
28.44887,closed,21-05-2024 20:01:12
28.44887,closed,21-05-2024 20:01:12
28.44887,closed,21-05-2024 20:01:13
28.44887,closed,21-05-2024 20:01:13
28.44887,closed,21-05-2024 20:01:14
27.98069,closed,21-05-2024 20:01:14
28.44887,closed,21-05-2024 20:01:15
27.98069,closed,21-05-2024 20:01:15
27.98069,closed,21-05-2024 20:01:16
27.98069,closed,21-05-2024 20:01:16
27.98069,closed,21-05-2024 20:01:16
28.44887,closed,21-05-2024 20:01:17
28.44887,closed,21-05-2024 20:01:18
27.98069,closed,21-05-2024 20:01:18
28.44887,closed,21-05-2024 20:01:18
27.98069,closed,21-05-2024 20:01:19
28.44887,closed,21-05-2024 20:01:19
27.98069,closed,21-05-2024 20:01:20
28.44887,closed,21-05-2024 20:01:20
